Model,Variant,Explained Variance Score,R2 Score,Median Absolute Error,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,RMSE / Mean(y),RMSE / Range(y),Mean Absolute Percentage Error
RandomForest,Default,0.43666132175719163,0.43500156660310185,39.64,45.54606741573034,3142.684773033707,56.059653700622405,0.38346854041621664,0.1933091506918014,0.412626619031879
RandomForest,More Trees (400),0.44394899789160613,0.4427486715498635,39.795,45.21811797752809,3099.59313363764,55.673989740610835,0.38083045783678154,0.19197927496762357,0.4076847493176912
RandomForest,Max Features = sqrt,0.476700755629499,0.4748619841682816,41.3,43.74033707865169,2920.969596629214,54.045995195104084,0.3696943795530139,0.1863655006727727,0.3979869452726073
LinearRegression,OLS,0.5239575095335574,0.523404931810618,31.04713939431548,40.66687249174517,2650.9596755812086,51.48747105443429,0.35219313840939603,0.1775430036359803,0.3500373270157763
LinearRegression,Ridge,0.44782397393713425,0.44749012662323995,39.529966772412195,44.763239667834526,3073.2197885443875,55.43662858205202,0.37920682067501577,0.1911607882139725,0.41918757936220336
LinearRegression,Lasso,0.530843180319545,0.5304141733068879,31.450384599887727,40.182342872260534,2611.9722462030295,51.107457833500476,0.34959370895254344,0.17623261321896716,0.34549260476201055
KNN,k=5,0.3944219498564806,0.38852774470462204,33.599999999999994,44.53483146067416,3401.1856179775277,58.31968465258988,0.3989279789470832,0.20110236087099959,0.3780398428460281
KNN,k=10,0.4609762832448767,0.4567991243720281,34.599999999999994,43.09213483146067,3021.4404494382024,54.96763092437405,0.37599870511638545,0.18954355491163466,0.3637096767776057
KNN,Distance Weight,0.3995100707378645,0.3927075680529901,33.36835889558887,44.34522381550048,3377.93623105107,58.12001575232985,0.39756217062157845,0.20041384742182705,0.37409397404770955
